Job Title,Avg Salary,Salary Type,Number of Salaries Reported,Salary Description,Source URL
data entry clerk,"$2,247",per month,21.8k ,"The average salary for a data entry clerk  is $2,247 per month in the United States. ",https://www.indeed.com/career/data-entry-clerk/salaries
entry level data analyst,"$59,938",per year,192,"The average salary for an  Entry Level Data Analyst is $59,938 per year in the United States. Salary estimates are based on 192 salaries submitted anonymously to Indeed by Entry Level Data Analyst employees, users, and collected from past and present job advertisements on Indeed in the past 36 months.",https://www.indeed.com/salaries/entry%20level%20data%20analyst-Salaries
junior data analyst,"$57,236",per year,161 ,"The average salary for a junior data analyst  is $57,236 per year in the United States. ",https://www.indeed.com/career/junior-data-analyst/salaries
data analyst,"$75,121",per year,6k ,"The average salary for a data analyst  is $75,121 per year in the United States and  $2,500 cash bonus per year.",https://www.indeed.com/career/data-analyst/salaries
senior data analyst,"$95,984",per year,1.6k ,"The average salary for a senior data analyst  is $95,984 per year in the United States and  $3,650 cash bonus per year.",https://www.indeed.com/career/senior-data-analyst/salaries
data engineer,"$129,421",per year,7.8k ,"The average salary for a data engineer  is $129,421 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/data-engineer/salaries
data scientist,"$121,691",per year,5.3k ,"The average salary for a data scientist  is $121,691 per year in the United States. ",https://www.indeed.com/career/data-scientist/salaries
senior data scientist,"$150,981",per year,1.5k ,"The average salary for a senior data scientist  is $150,981 per year in the United States. ",https://www.indeed.com/career/senior-data-scientist/salaries
lead data scientistprincipal data scientist,NaN,per year,NaN,NaN,https://www.indeed.com/salaries/lead%20data%20scientistprincipal%20data%20scientist-Salaries
business analyst,"$80,067",per year,7.8k ,"The average salary for a business analyst  is $80,067 per year in the United States and  $4,000 cash bonus per year.",https://www.indeed.com/career/business-analyst/salaries
Business intelligence analyst,"$95,766",per year,1.6k ,"The average salary for a business intelligence analyst  is $95,766 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/business-intelligence-analyst/salaries
Business intelligence developer,"$102,168",per year,1.7k ,"The average salary for a business intelligence developer  is $102,168 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/business-intelligence-developer/salaries
software engineer,"$110,169",per year,37.8k ,"The average salary for a software engineer  is $110,169 per year in the United States and  $4,000 cash bonus per year.",https://www.indeed.com/career/software-engineer/salaries
Senior Software Engineer,"$132,483",per year,26.9k ,"The average salary for a senior software engineer  is $132,483 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/senior-software-engineer/salaries
Chief information officer,"$129,724",per year,451 ,"The average salary for a chief information officer  is $129,724 per year in the United States and  $21,200 profit sharing per year.",https://www.indeed.com/career/chief-information-officer/salaries
Business Systems Analyst,"$90,587",per year,3.5k ,"The average salary for a business systems analyst  is $90,587 per year in the United States and  $5,000 cash bonus per year.",https://www.indeed.com/career/business-systems-analyst/salaries
Data Warehouse Architect,"$134,214",per year,746,"The average salary for a  Data Warehouse Architect is $134,214 per year in the United States. Salary estimates are based on 746 salaries submitted anonymously to Indeed by Data Warehouse Architect employees, users, and collected from past and present job advertisements on Indeed in the past 36 months. The typical tenure for a  Data Warehouse Architect is less than 1 year.",https://www.indeed.com/salaries/data-warehouse-architect-Salaries
Software Architect,"$138,753",per year,12.9k ,"The average salary for a software architect  is $138,753 per year in the United States and  $10,000 cash bonus per year.",https://www.indeed.com/career/software-architect/salaries
Database manager,"$64,758",per year,239,"The average salary for a  Database Manager is $64,758 per year in the United States. Salary estimates are based on 239 salaries submitted anonymously to Indeed by Database Manager employees, users, and collected from past and present job advertisements on Indeed in the past 36 months. The typical tenure for a  Database Manager is 1-3 years.",https://www.indeed.com/salaries/database-manager-Salaries
Senior Data modeler,"$106,303",per year,62,"The average salary for a  Senior Data Modeler is $106,303 per year in the United States. Salary estimates are based on 62 salaries submitted anonymously to Indeed by Senior Data Modeler employees, users, and collected from past and present job advertisements on Indeed in the past 36 months. The typical tenure for a  Senior Data Modeler is less than 1 year.",https://www.indeed.com/salaries/senior-data-modeler-Salaries
Database developer,"$89,329",per year,448 ,"The average salary for a database developer  is $89,329 per year in the United States and  $2,800 cash bonus per year.",https://www.indeed.com/career/database-developer/salaries
Database administrator,"$98,260",per year,2.5k ,"The average salary for a database administrator  is $98,260 per year in the United States. ",https://www.indeed.com/career/database-administrator/salaries
Machine learning engineer,"$144,264",per year,1.6k ,"The average salary for a machine learning engineer  is $144,264 per year in the United States. ",https://www.indeed.com/career/machine-learning-engineer/salaries
tableau developer,$56.43,per hour,338,"The average salary for a  Tableau Developer is $56.43 per hour in the United States. Salary estimates are based on 338 salaries submitted anonymously to Indeed by Tableau Developer employees, users, and collected from past and present job advertisements on Indeed in the past 36 months.",https://www.indeed.com/salaries/tableau%20developer-Salaries
