,job_title,average_sal,state,city
0,Data Analyst,56000.0, VA,Norfolk
1,Data Analyst,61500.0, MA,Burlington
2,Data Analyst,66833.33, VA,Chantilly
3,Data Analyst,85250.0, NJ,Piscataway
4,Data Analyst,59281.25, PA,Philadelphia
5,Junior Data Analyst,92000.0, CO,Aurora
6,Data Analyst,63500.0, MI,Farmington Hills
7,Senior Data Analyst,68500.0, AZ,Tempe
8,Data Analyst,114666.67, CA,Redwood City
9,Data Analyst,43000.0, NC,Winston-Salem
10,Data Analyst,61000.0, OH,Cleveland
11,Data Analyst,64000.0, CA,Reedley
12,Data Analyst,112000.0, OR,Portland
13,Junior Data Analyst,36000.0, TX,Dallas
14,Data Analyst,40500.0, PA,West Chester
15,Junior Data Analyst,42000.0, FL,Gainesville
16,Senior Data Analyst,72000.0, CA,San Jose
17,Data Analyst,112000.0, OR,Oregon City
18,Junior Data Analyst,52500.0, WI,Milwaukee
19,Data Analyst,74500.0, GA,Forest Park
20,Data Analyst,61500.0, AK,Anchorage
21,BI Data Analyst,79500.0, IL,Chicago
22,Senior Data Analyst,55000.0, CO,Colorado Springs
23,Data Analyst,74500.0, TN,Nashville
24,Senior Data Analyst,77277.78, DC,Washington
25,Junior Data Analyst,51000.0, WA,Redmond
26,Data Analyst,40500.0, PA,Chester Township
27,Data Analyst,40500.0, PA,Allegheny West
28,Data Analyst,62000.0, OK,Tulsa
29,Data Analyst,53500.0, NY,Buffalo
30,Senior Data Analyst,65166.67, TX,Austin
31,Senior Data Analyst,63333.33, TX,Dallas
32,Data Analyst,43500.0, OH,Toledo
33,Junior Data Analyst,68166.67, GA,Atlanta
34,Data Analyst,40750.0, TX,Dallas
35,Junior Data Analyst,47500.0, MN,Minneapolis
36,BI Data Analyst,80500.0, CA,San Francisco
37,Data Analyst,68333.33, NC,Durham
38,Data Analyst,105916.67, CA,Oakland
39,Data Analyst,59944.44, GA,Atlanta
40,Senior Data Analyst,74500.0, OH,Cincinnati
41,Data Analyst,99000.0, CA,Novato
42,Senior Data Analyst,56000.0, FL,Jacksonville
43,Senior Data Analyst,66000.0, CA,San Mateo
44,Data Analyst,39000.0, GA,Peachtree Corners
45,Data Analyst,77166.67, VA,Fort Belvoir
46,Junior Data Analyst,59500.0, PA,Philadelphia
47,Data Analyst,44000.0, GA,Athens
48,Junior Data Analyst,61500.0, NJ,Toms River
49,Data Analyst,49000.0, PA,Canonsburg
50,Senior Data Analyst,75500.0, CA,Milpitas
51,Data Analyst,71305.56, MA,Boston
52,Data Analyst,60500.0, CA,Sanger
53,Data Analyst,47500.0, MN,Saint Paul
54,Data Analyst,75000.0, MA,Newton
55,Data Analyst,66800.0, CO,Centennial
56,Data Analyst,56000.0, VA,Hampton
57,Junior Data Analyst,44000.0, GA,Athens
58,Data Analyst,40500.0, PA,Conshohocken
59,Junior Data Analyst,62500.0, NC,Raleigh
60,Data Analyst,50666.67, TX,Frisco
61,Data Analyst,55500.0, NM,Albuquerque
62,Data Analyst,36045.45, TX,Houston
63,Junior Data Analyst,36500.0, UT,Lehi
