,job_title,average_sal,state,city
0,Senior Data Scientist,146500.0, CA,Burbank
1,Senior Data Scientist,85800.0, IL,Chicago
2,Data Scientist,61500.0, TX,Lewisville
3,Data Scientist,122000.0, PA,Conshohocken
4,Senior Data Scientist,131611.11, CA,Los Angeles
5,Data Scientist,161000.0, CA,Menlo Park
6,Data Scientist,69625.0, TX,Irving
7,Sr Data Scientist,172000.0, TX,Dallas
8,Data Scientist,169500.0, NJ,Franklin Lakes
9,Senior Data Scientist,163500.0, CA,San Jose
10,Sr Data Scientist,128000.0, AZ,Phoenix
11,Data Scientist,63500.0, TX,Farmers Branch
12,Data Scientist,62000.0, TX,Allen
13,Data Scientist,123875.0, AZ,Phoenix
14,Data Scientist,111500.0, NY,Carle Place
15,Senior Data Scientist,73333.33, CA,San Diego
16,Data Scientist,116000.0, CA,Culver City
17,Senior Data Scientist,62500.0, TX,Irving
18,Data Scientist,125000.0, TX,San Antonio
19,Data Scientist,169500.0, NJ,Jersey City
20,Data Scientist,61500.0, TX,Grapevine
21,Data Scientist,122000.0, PA,King of Prussia
22,Data Scientist,122500.0, AZ,Tempe
23,Data Scientist,121807.69, TX,Houston
24,Senior Data Scientist,161750.0, CA,Sunnyvale
25,Data Scientist,92000.0, PA,West Chester
26,Senior Data Scientist,128000.0, AZ,Phoenix
27,Senior Data Scientist,174500.0, CA,Menlo Park
28,Data Scientist,104500.0, IL,Rosemont
29,Data Scientist,205000.0, NY,Queens Village
30,Data Scientist,169500.0, NY,Brooklyn
31,Senior Data Scientist,131500.0, OH,Columbus
32,Data Scientist,115750.0, CA,San Diego
33,Data Scientist,147450.0, TX,Austin
34,Sr Data Scientist,142500.0, NY,New York
35,Senior Data Scientist,135500.0, TX,Austin
36,Data Scientist,146500.0, CA,Whittier
37,Data Scientist,61500.0, TX,Coppell
38,Data Scientist,133000.0, CA,Glendale
39,Sr Data Scientist,68500.0, TX,Fort Worth
40,Junior Data Scientist,131500.0, OH,Columbus
41,Data Scientist,62000.0, TX,Addison
42,Senior Data Scientist,174500.0, CA,Newark
43,Data Scientist,132500.0, TX,Alvin
44,Data Scientist,205000.0, NY,Rockville Centre
45,Senior Data Scientist,143000.0, CA,Mountain View
46,Data Scientist,133000.0, CA,Santa Monica
47,Data Scientist,77500.0, FL,Jacksonville
48,Data Scientist,127666.67, CA,San Jose
49,Senior Data Scientist,61500.0, TX,Dallas
50,Data Scientist,132142.86, NY,New York
51,Data Scientist,79000.0, IL,Northbrook
52,Senior Data Scientist,97750.0, TX,Houston
53,Data Scientist,125500.0, TX,Fort Worth
54,Data Scientist,156333.33, CA,Burbank
55,Data Scientist,131625.0, CA,El Segundo
56,Data Scientist,43500.0, IL,Elmhurst
57,Data Scientist,141000.0, CA,San Carlos
58,Data Scientist,80416.67, TX,Dallas
59,Senior Data Scientist,94000.0, CA,Irwindale
60,Data Scientist,122500.0, AZ,Scottsdale
61,Data Scientist,146500.0, CA,Calabasas
62,Data Scientist,131500.0, OH,Columbus
63,Data Scientist,131500.0, OH,Gahanna
64,Data Scientist,111500.0, NJ,Newark
65,Sr Data Scientist,161000.0, CA,Mountain View
66,Senior Data Scientist,145454.55, NY,New York
67,Data Scientist,90518.52, IL,Chicago
68,Data Scientist,169500.0, NY,Port Washington
69,Data Scientist,151000.0, CA,Mountain View
70,Data Scientist,146000.0, CA,Palo Alto
71,Senior Data Scientist,176000.0, CA,Torrance
72,Data Scientist,138400.0, CA,Los Angeles
73,Senior Data Scientist,149700.0, CA,Palo Alto
74,Data Scientist,161000.0, CA,Sunnyvale
75,Data Scientist,122750.0, CA,Irwindale
76,Senior Data Scientist,95250.0, PA,Newtown
77,Senior Data Scientist,170000.0, CA,Sherman Oaks
78,Senior Data Scientist,160500.0, CA,Redwood City
79,Senior Data Scientist,133000.0, NJ,Fort Lee
80,Data Scientist,141666.67, CA,Redwood City
81,Senior Data Scientist,160500.0, CA,Fremont
82,Data Scientist,122500.0, AZ,Chandler
83,Senior Data Scientist,152000.0, NJ,Jersey City
84,Data Scientist,153000.0, CA,Santa Clara
85,Data Scientist,111300.0, PA,Philadelphia
86,Sr Data Scientist,77500.0, IL,Chicago
87,Data Scientist,80500.0, IL,Melrose Park
88,Senior Data Scientist,129000.0, OH,Gahanna
89,Data Scientist,133000.0, CA,Brea
90,Data Scientist,43500.0, IL,Rolling Meadows
91,Senior Data Scientist,133000.0, CA,Culver City
92,Data Scientist,133000.0, CA,Anaheim
93,Senior Data Scientist,113166.67, NJ,Newark
94,Data Scientist,117375.0, TX,Plano
95,Senior Data Scientist,77000.0, PA,Philadelphia
96,Data Scientist,161000.0, CA,Livermore
97,Data Scientist,43500.0, IL,Naperville
98,Data Science Technical Lead / Architect,62500.0, OH,Columbus
99,Data Scientist,161000.0, CA,Fremont
100,Junior Data Scientist,133000.0, CA,Universal City
101,Senior Data Scientist,73000.0, TX,San Antonio
102,Data Scientist,139750.0, CA,Woodland Hills
103,Sr Data Scientist,111500.0, NJ,Jersey City
104,Data Scientist,133000.0, NJ,Middletown
